Year,Month,State,MWh
2008,3,WA,0
2008,4,AZ,1632
2008,4,CA,71402
2008,4,CO,2106
2008,4,HI,0
2008,4,MA,9
2008,4,NC,0
2008,4,NJ,291
2008,4,NV,18682
2008,4,PA,19
2008,4,WA,0
2008,5,AZ,1508
2008,5,CA,75906
2008,5,CO,2135
2008,5,HI,0
2008,5,MA,9
2008,5,NC,0
2008,5,NJ,304
2008,5,NV,18863
2008,5,PA,20
2008,5,WA,0
2008,6,AZ,272
2008,6,CA,100402
2008,6,CO,2625
2008,6,HI,0
2008,6,MA,12
2008,6,NC,0
2008,6,NJ,398
2008,6,NV,24428
2008,6,PA,26
2008,6,WA,0
2008,7,AZ,1254
2008,7,CA,89749
2008,7,CO,1932
2008,7,HI,0
2008,7,MA,10
2008,7,NC,0
2008,7,NJ,346
2008,7,NV,17565
2008,7,PA,23
2008,7,WA,0
2008,8,AZ,1351
2008,8,CA,85383
2008,8,CO,1815
2008,8,HI,0
2008,8,MA,10
2008,8,NC,0
2008,8,NJ,328
2008,8,NV,16373
2008,8,PA,22
2008,8,WA,0
2008,9,AZ,1116
2008,9,CA,72990
2008,9,CO,2055
2008,9,HI,0
2008,9,MA,9
2008,9,NC,0
2008,9,NJ,286
2008,9,NV,16123
2008,9,PA,19
2008,9,WA,0
2008,10,AZ,1074
2008,10,CA,45957
2008,10,CO,1488
2008,10,HI,0
2008,10,MA,6
2008,10,NC,0
2008,10,NJ,183
2008,10,NV,11523
2008,10,PA,12
2008,10,WA,0
2008,11,AZ,1279
2008,11,CA,21256
2008,11,CO,875
2008,11,HI,0
2008,11,MA,3
2008,11,NC,0
2008,11,NJ,87
2008,11,NV,5343
2008,11,PA,6
2008,11,WA,0
2008,12,AZ,1210
2008,12,CA,11395
2008,12,CO,527
2008,12,HI,18
2008,12,MA,1
2008,12,NC,1801
2008,12,NJ,57
2008,12,NV,3675
2008,12,PA,3
2008,12,WA,0
2009,1,AZ,1387
2009,1,CA,1896
2009,1,CO,539
2009,1,HI,9
2009,1,IL,0
